ingredientNo	recipeNumber	subHeadingNo	ingredient	mainIngredients
220	24	1	2 x 100g bars Lindt Excellence Orange Intense	ORANGE
221	24	1	60ml (1/4 cup) thick cream, plus extra, to serve	CREAM
222	24	1	2 tablespoons lemon juice (optional, see notes)	LEMON JUICE
223	25	1	400g kipfler potatoes, scrubbed	POTATOE
224	25	1	2 (x 150g pieces) skinless ocean trout fillets, deboned	TROUT
225	25	1	2 limes, juiced	LIME
226	25	1	1 radicchio, trimmed, outer leaves discarded, cut widthwise into 2cm-wide strips	RADICCHIO
227	25	1	2 Lebanese cucumbers, seeded, finely chopped	CUCUMBER
228	25	1	1 bunch radishes, trimmed, each cut into wedges	RADISHE
229	25	1	1/2 bunch coriander, leaves picked, roughly chopped	CORIANDER
230	25	1	1/2 bunch mint, leaves picked, roughly chopped	MINT
231	25	1	1 long green chilli, seeded, finely chopped	CHILLI, GREEN
232	25	1	1 eschalot, finely chopped	ESCHALOT
233	25	1	60ml (1/4 cup) olive oil	OLIVE OIL
234	26	1	1.6kg desiree potatoes (see note), peeled, halved	POTATOE
235	26	1	1 1/4 cups (310ml) thin cream	CREAM
236	26	1	100g butter	BUTTER
237	27	1	3/4 cup (110g) plain flour	FLOUR
238	27	1	1/4 teaspoon baking powder	BAKING POWDER
239	27	1	1/4 teaspoon bicarbonate of soda	SODA
240	27	1	1/4 teaspoon salt	SALT
241	27	1	1/3 cup (75g) firmly packed brown sugar	BROWN SUGAR
242	27	1	1/3 cup (75g) caster sugar	SUGAR
243	27	1	3/4 cup (65g) rolled oats	ROLLED OATS
244	27	1	100g craisins (dried cranberries), see variation	CRAISIN
245	27	1	130g white chocolate chips	WHITE CHOCOLATE
246	27	2	125g butter, melted and cooled	BUTTER
247	27	2	1 egg, lightly beaten	EGG
248	27	2	1 teaspoon vanilla extract	VANILLA EXTRACT
249	28	1	2 teaspoons peanut oil	PEANUT OIL
250	28	1	2.5cm-piece fresh ginger, finely chopped	GINGER
251	28	1	1 lemon grass stem, pale section only, finely chopped	LEMON
252	28	1	125ml (1/2 cup) water	WATER
253	28	1	60ml (1/4 cup) white vinegar	VINEGAR
254	28	1	2 tablespoons caster sugar	SUGAR
255	28	1	1 Lebanese cucumber, cut into 5cm-long matchsticks	CUCUMBER
256	28	1	1 carrot, cut into 5cm-long matchsticks	CARROT
257	29	1	1.5kg leg of lamb	LAMB
258	29	1	600g piece of beef rump steak	STEAK, BEEF
259	29	1	800g chicken thigh fillets	CHICKEN
260	29	1	1 tablespoon ground cumin	CUMIN
261	29	1	2 teaspoons ground coriander	CORIANDER
262	29	1	1 teaspoon ground chilli powder	CHILLI POWDER
263	29	1	2 teaspoons sea salt	SALT
264	29	1	2 teaspoons cracked black pepper	BLACK PEPPER
265	29	1	1/4 teaspoon brown sugar	BROWN SUGAR
266	29	1	4 garlic cloves, crushed	GARLIC
267	29	1	1 tablespoon roughly chopped fresh thyme leaves	THYME
268	29	1	1 tablespoon roughly chopped fresh oregano leaves	OREGANO
269	29	1	2 tablespoons orange juice	ORANGE JUICE
270	29	1	1/4 cup olive oil	OLIVE OIL
271	30	1	375g small strawberries	STRAWBERRIE
272	30	1	180g blueberries	BLUEBERRIE
273	30	2	12-15 passionfruit	PASSIONFRUIT
274	30	2	200g (about 4) eggs	EGG
275	30	2	1 tbs lemon juice	LEMON JUICE
276	30	2	1 tbs cornflour	CORNFLOUR
277	30	2	210g caster sugar	SUGAR
278	30	2	450g unsalted butter, chopped	UNSALTED BUTTER
279	30	3	500g pkt frozen raspberries, thawed	FROZEN RASPBERRIE
280	30	3	2 tbs caster sugar	SUGAR
281	30	3	5 tsp citrus pectin (see note)	CITRUS PECTIN
282	30	3	1 tsp lemon juice	LEMON JUICE
283	30	4	150g (about 4) egg whites	EGG
284	30	4	150g caster sugar	SUGAR
285	30	4	150g (1 cup) pure icing sugar, sifted	SUGAR SIFTED
286	30	4	1 1/2 tbs cornflour	CORNFLOUR
287	30	4	1 tsp white vinegar	VINEGAR
288	30	5	325g (about 9) egg whites	EGG
289	30	5	205g caster sugar	SUGAR
290	30	5	180g (about 8) egg yolks	EGG
291	30	5	2 tsp vanilla bean paste	VANILLA BEAN
292	30	5	1 1/2 tsp liquid glucose	GLUCOSE
293	30	5	115g plain flour, sifted	FLOUR
294	30	5	115g cornflour, sifted	CORNFLOUR
295	30	6	200g ctn creme fraiche	CREME FRAICHE
296	30	6	1 tsp finely grated lemon zest	LEMON
297	30	6	1 tsp lemon juice	LEMON JUICE
298	30	6	250ml (1 cup) pouring cream	CREAM
299	30	7	150ml water	WATER
300	30	7	270g caster sugar	SUGAR
301	30	7	75g liquid glucose	LIQUID GLUCOSE
302	30	7	250ml (1 cup) pouring cream (35% fat)	CREAM
303	30	7	150g NESTLÉ BAKERS' CHOICE Cocoa, sifted	COCOA
304	30	7	18g (4-5) gelatine leaves	GELATINE
305	30	7	4 1/2 tbs cold water	WATER
306	30	7	355g (3 cups) dessicated coconut	COCONUT
307	31	1	375g unsalted butter, at room temperature	UNSALTED BUTTER
308	31	1	125ml (1/2 cup) lukewarm water	WATER
309	31	1	7g sachet dried yeast	YEAST
310	31	1	175g plain flour	FLOUR
311	31	1	700g plain bread flour	BREAD FLOUR
312	31	1	150g caster sugar	SUGAR
313	31	1	7.5g salt	SALT
314	31	1	225g eggs (about 4-5 eggs, see note)	EGG
315	31	1	150ml milk	MILK
316	31	1	Canola or vegetable oil, to deep fry	VEGETABLE OIL
317	31	1	Caster sugar, to coat	SUGAR
318	31	2	4g gelatine leaves	GELATINE
319	31	2	590ml pouring cream	CREAM
320	31	2	1 vanilla bean, split, seeds scraped	VANILLA BEAN
321	31	3	80ml (1/3 cup) condensed milk	CONDENSED MILK
322	31	3	150g (1 cup) icing sugar mixture, sifted	SUGAR
323	31	3	Pink food colouring, for tinting	PINK FOOD COLOURIN
324	32	1	175g boiled clear lemon lollies	LEMON
325	32	1	Caster sugar, to dust	SUGAR
326	32	1	Cocoa powder, to dust	COCOA POWDER
327	32	1	3 x 375g pkts dark chocolate melts	DARK CHOCOLATE
328	32	1	350g pkt 100s & 1000s	100S & 1000S
329	32	1	Assorted lollies, to decorate	ASSORTED LOLLIES
330	32	2	425g unsalted butter, chopped	UNSALTED BUTTER
331	32	2	440g (2 cups) caster sugar	SUGAR
332	32	2	500g glucose syrup	SYRUP
333	32	2	180ml (3⁄4 cup) milk	MILK
334	32	2	1.2kg (8 cups) bread & pizza plain flour	FLOUR, PIZZA, BREA
335	32	2	2 teaspoons bicarbonate of soda	SODA
336	32	2	20g ground cinnamon	CINNAMON
337	32	2	5 teaspoons ground cloves	CLOVE
338	32	2	5 teaspoons ground ginger	GINGER
339	32	3	125g slivered almonds, roasted	SLIVERED ALMOND
340	32	3	200g (5 cups) corn flakes	CORN FLAKE
341	32	3	500g Lindt Excellence Crunchy Caramel Milk Chocolate, chopped	CHOCOLATE, MILK, C
342	32	3	125g unsalted butter, chopped	UNSALTED BUTTER
343	33	1	180g block milk chocolate, roughly chopped	CHOCOLATE, MILK
344	33	1	1/4 cup thickened cream	THICKENED CREAM
345	33	1	1 tablespoon coffee-flavoured liqueur (see note)	LIQUEUR
346	33	1	60g dry-roasted hazelnuts, finely chopped	HAZELNUT
347	33	1	1 1/2 tablespoons cocoa powder, sifted	COCOA POWDER
348	34	1	100g cream cheese, softened	CREAM CHEESE
349	34	1	1/2 cup (80g) icing sugar mixture	SUGAR
350	34	1	Icing sugar mixture, to dust	SUGAR
351	34	1	375g pkt white chocolate melts	WHITE CHOCOLATE
352	34	1	Star sprinkles, to decorate	STAR SPRINKLES
353	34	2	125g butter, softened	BUTTER
354	34	2	1 cup (215g) caster sugar	SUGAR
355	34	2	1 tablespoon finely grated lemon rind	LEMON
356	34	2	3 eggs	EGG
357	34	2	1 cup (150g) plain flour	FLOUR
358	34	2	1/3 cup (50g) self-raising flour	FLOUR
359	34	2	1/2 cup (125g) sour cream	SOUR CREAM
360	35	1	500g good-quality vanilla ice-cream	VANILLA
361	35	1	120ml Italian liqueur (such as amaretto or Frangelico)	AMARETTO, LIQUEUR
362	35	1	4 espresso cups freshly brewed strong, black coffee	COFFEE
363	36	1	1 litre vanilla bean ice-cream	VANILLA BEAN
364	36	1	1 cup freshly brewed strong espresso coffee	COFFEE
365	36	1	1/2 cup (125ml) Frangelico liqueur	FRANGELICO LIQUEUR
366	37	1	Low-fat ice-cream or gelato	LOW-FAT ICE-CREAM 
367	37	1	4 x 30ml shots espresso coffee	COFFEE
368	38	1	4 x 30ml shots hot espresso coffee	COFFEE
369	38	1	1/4 cup hazelnut liqueur (we used Frangelico)	LIQUEUR, HAZELNUT
370	38	1	8 scoops vanilla ice-cream	VANILLA
371	38	1	Biscotti, to serve	BISCOTTI
372	39	1	1 1/2 cups (375ml) prepared strong coffee (preferably espresso)	COFFEE
373	39	1	1 1/2 cups (330g) caster sugar	SUGAR
374	39	1	1 vanilla bean, split, seeds scraped	VANILLA BEAN
375	39	1	6 egg yolks	EGG
376	39	1	1/4 cup (60ml) Frangelico liqueur, plus 2 tablespoons extra (optional)	FRANGELICO LIQUEUR
377	39	1	500g mascarpone cheese	CHEESE, MASCARPONE
378	39	1	300ml thickened cream	THICKENED CREAM
379	39	1	Chopped chocolate-coated coffee beans (see note), to serve	COFFEE
380	40	1	125ml (1/2 cup) freshly brewed strong espresso coffee	COFFEE
381	40	1	60ml (1/4 cup) gold tequila	GOLD TEQUILA
382	40	1	60ml (1/4 cup) coffee liqueur	LIQUEUR, COFFEE
383	40	1	4 scoops vanilla ice-cream	VANILLA
384	41	1	250g butter, softened	BUTTER
385	41	1	3/4 cup brown sugar	BROWN SUGAR
386	41	1	1/4 cup NESTLÉ BAKERS' CHOICE Cocoa	COCOA
387	41	1	1 2/3 cups plain flour	FLOUR
388	41	1	2 1/2 cups cornflakes	S CORNFLAKES
389	41	1	Walnuts, to decorate	WALNUT
390	41	2	1 1/2 cups icing sugar mixture	SUGAR
391	41	2	2 tablespoons cocoa powder	COCOA POWDER
392	41	2	2 tablespoons hot water	WATER
393	42	1	2 teaspoons olive oil	OLIVE OIL
394	42	1	1 large brown onion, thinly sliced	ONION
395	42	1	2 celery sticks, finely chopped	CELERY
396	42	1	1 large carrot, peeled, finely chopped	CARROT
397	42	1	2 garlic cloves, crushed	GARLIC
398	42	1	1 tablespoon curry powder	CURRY POWDER
399	42	1	800g sweet potato, peeled, cut into 2cm pieces	SWEET POTATO
400	42	1	400g can no-added-salt diced tomatoes	TOMATOES
401	42	1	250ml (1 cup) water	WATER
402	42	1	185ml (3/4 cup) light coconut milk	COCONUT MILK
403	42	1	1/2 teaspoon caster sugar	SUGAR
404	42	1	40g (1/4 cup) roasted unsalted peanuts	UNSALTED PEANUT
405	42	1	1 bunch English spinach, trimmed, leaves coarsely chopped	SPINACH
406	42	1	2 cups steamed SunRice Basmati Rice, to serve	RICE
407	43	1	700ml vanilla ice-cream	VANILLA
408	43	1	200g good-quality dark chocolate	DARK CHOCOLATE
409	43	1	25g milk chocolate	CHOCOLATE, MILK
410	44	1	1 1/4 cups almond meal (ground almonds)	ALMOND MEAL
411	44	1	1 1/2 cups pure icing sugar	SUGAR
412	44	1	4 eggwhites	EGG
413	44	1	1/4 cup caster sugar	SUGAR
414	44	1	2 tablespoons cocoa powder, sifted	COCOA POWDER
415	44	2	90g dark chocolate, chopped	DARK CHOCOLATE
416	44	2	2 tablespoons thickened cream	THICKENED CREAM
417	44	2	1/2 teaspoon peppermint essence	PEPPERMINT ESSENCE
418	45	1	480g pkt Double Choc Chip Butter Cake, coarsely chopped	CAKE, BUTTER
419	45	1	125g bar Nestle Aero Peppermint chocolate, coarsely chopped	CHOCOLATE
420	45	1	2 x 35g bars Nestle Peppermint Crisp, coarsely chopped	NESTLE PEPPERMINT 
421	45	1	2 tablespoons Kahlua liqueur	LIQUEUR, KAHLUA
422	45	1	375g pkt dark chocolate melts	DARK CHOCOLATE
423	45	1	Nestle Peppermint Crisp, extra, finely crushed, to decorate	NESTLE PEPPERMINT 
424	46	1	375g NESTLÉ BAKERS' CHOICE Dark Choc Melts	NESTLÉ BAKERS' CHO
425	46	1	2 1/2 cups pure icing sugar	SUGAR
426	46	1	1 tablespoon vegetable oil	VEGETABLE OIL
427	46	1	2 tablespoons milk	MILK
428	46	1	1/4 teaspoon peppermint essence	PEPPERMINT ESSENCE
429	47	1	125g dark chocolate, chopped	DARK CHOCOLATE
430	47	1	1/4 cup thickened cream	THICKENED CREAM
431	47	1	1 teaspoon peppermint essence	PEPPERMINT ESSENCE
432	47	1	40g Cadbury bubbly mint chocolate bar	CHOCOLATE, MINT
433	47	1	60g packet milk chocolate cups (see notes)	CHOCOLATE, MILK
434	48	1	150g almond meal	ALMOND MEAL
435	48	1	125ml (1/2 cup) pouring cream	CREAM
436	48	1	55g (1/4 cup) caster sugar	SUGAR
437	48	1	5 plain biscuits (such as Arnott's Nice), crushed	PLAIN BISCUITS (SU
438	48	1	1 apple, peeled, cored, coarsely grated	APPLE
439	48	1	2 tablespoons fresh lemon juice	LEMON JUICE
440	48	1	1/2 teaspoon ground cinnamon	CINNAMON
441	48	1	2 sheets (25 x 25cm) frozen ready-rolled butter puff pastry, just thawed	PUFF PASTRY
442	48	1	80g (1/2 cup) icing sugar mixture	SUGAR
443	48	1	1 tablespoon water	WATER
444	48	1	1 teaspoon fresh lemon juice, extra	LEMON JUICE
445	48	1	Icing sugar (optional), to dust	SUGAR
446	49	1	4 beurre bosc pears	BOSC PEAR
447	49	1	1/4 firmly packed cup (60g) brown sugar	BROWN SUGAR
448	49	1	1/4 cup (55g) caster sugar	SUGAR
449	49	1	1 tablespoon lemon juice	LEMON JUICE
450	49	1	1 teaspoon ground cinnamon	CINNAMON
451	49	1	1/4 teaspoon mixed spice	MIXED SPICE
452	49	1	60g unsalted butter	UNSALTED BUTTER
453	49	1	375g block frozen puff pastry, thawed	PUFF PASTRY
454	49	1	250g aged cheddar, grated	CHEDDAR
455	49	1	1 egg, beaten with 1/4 cup (60ml) milk	MILK, EGG
456	49	1	Warm honey, to serve	HONEY
457	50	1	8 dried Asian mushrooms	MUSHROOM
458	50	1	1 teaspoon dashi granules (see note)	DASHI GRANULES
459	50	1	20ml (1 tablespoon) light soy sauce	SOY SAUCE
460	50	1	20ml (1 tablespoon) dark soy sauce	SOY SAUCE
461	50	1	40ml (2 tablespoons) mirin (see note)	MIRIN
462	50	1	1/2 teaspoon sugar	SUGAR
463	50	1	1 teaspoon cornflour	CORNFLOUR
464	50	1	1 carrot, peeled, thinly sliced	CARROT
465	50	1	2 shallots, thinly sliced	SHALLOT
466	50	1	60ml (1/4 cup) vegetable oil	VEGETABLE OIL
467	50	1	300g firm tofu, quartered	TOFU
468	50	1	1 tablespoon flour, to dust	FLOUR
469	50	1	200g buckwheat (soba) noodles (see note), cooked, drained	BUCKWHEAT
470	51	1	375g dried spaghettini	DRIED SPAGHETTINI
471	51	1	1/3 cup extra virgin olive oil	OLIVE OIL
472	51	1	5 garlic cloves, crushed	GARLIC
