recipeNumber	stepNumber	stepTitle	stepDescription
6	4	Step 4	Dollop dessertspoonfuls of the mixture onto the trays, spaced well apart. Place in the oven and immediately turn it off. Leave biscuits undisturbed in the oven overnight; they'll be crisp and dry by morning. Store in an airtight container for 2-3 days.
7	1	Step 1	Melt chocolate in a heatproof bowl over a pan of simmering water (don't let the bowl touch the water). Remove from the heat, then stir until smooth. Set aside to cool.
7	2	Step 2	Meanwhile, separate 2 eggs and set the eggwhites aside. Place the 2 egg yolks, remaining whole egg, vanilla extract and 2 tablespoons sugar in the bowl of an electric mixer and beat until thick and pale.
7	3	Step 3	Lightly whip the thickened cream to soft peaks. Fold melted chocolate and cream into egg mixture until combined.
7	4	Step 4	In a separate bowl with clean beaters, beat eggwhites with remaining 1 tablespoon caster sugar until soft peaks form. Fold into egg mixture to just combine, keeping as much air in the mixture as possible. Place mousse in a glass serving dish and cover with a layer of Lindor balls. Chill for 4-6 hours until mousse is set, then serve.
8	1	Step 1	Fill a small pan with hot water and add eggs. Bring to the boil, then reduce heat to low and simmer for 3-4 minutes until soft-boiled. Remove eggs with a slotted spoon, cool, then peel and quarter. Season and sprinkle with cayenne.
8	2	Step 2	Meanwhile, place yoghurt, curry powder and some salt and pepper in a small bowl. Stir well to combine. Stir in oil and set aside.
8	3	Step 3	Divide lettuce among plates. Arrange the cucumber and the eggs on top and dollop over yoghurt dressing. Scatter with cress and nigella seeds and serve.
9	1	Step 1	Heat oil in a 5cm-deep, 22cm round (base) non-stick, ovenproof frying pan  over medium heat. Add potato. Cook, stirring, for 10 minutes or until tender. Remove from heat. Drain on paper towel. Cool for 10 minutes. Reserve 1 tablespoon oil in pan (carefully discard remaining oil).
9	2	Step 2	Preheat oven to 180C/160C fan-forced. Whisk eggs, milk and chives in a bowl. Season with salt and pepper.
9	3	Step 3	Heat reserved oil in frying pan over medium-high heat. Add potato to egg mixture. Stir to combine. Add to pan. Gently shake pan to spread egg mixture evenly. Reduce heat to low. Cook,  without stirring, for 5 to 8 minutes  or until edges are firm.
9	4	Step 4	Transfer pan to oven. Bake for 15 to  20 minutes or until top is light golden and omelette is just set. Stand for 5 minutes. 5 Using a spatula, loosen omelette around edge of pan. Turn out onto a serving plate. Working quickly, spread with sour cream. Top with ham, olive and tomato. Sprinkle with parsley. Serve immediately.
10	1	Step 1	Place split peas, onion, carrot, celery, bay leaf and ham hock in a pan. Add enough water to cover, bring to the boil, then simmer over low heat for 1 1/2 hours, stirring occasionally, until peas start to break down and hock is tender. Discard bay leaf. Remove hock and set aside. Allow soup and hock to cool slightly.
10	2	Step 2	Remove ham from hock and chop, discarding skin and bone. Blend soup, in batches, then add ham and warm over low heat. Season. Ladle soup into bowls, garnish with peas and a drizzle of cream, then serve with bread.
11	1	Step 1	Line the base of a 22cm springform cake pan with plastic wrap or baking paper. Place the mascarpone, thickened cream, icing sugar, egg yolks and vanilla seeds in the bowl of an electric mixer and beat on high speed until thick and well combined.
11	2	Step 2	Combine the Grand Marnier and orange juice in a separate bowl. Dip half the sponge fingers into the juice mixture and layer in the base of the cake pan. Spread with one-third of the mascarpone mixture, and top with one-third of the mango slices. Repeat the process, then top with the remaining mascarpone mixture, reserving the remaining mango slices to serve. Cover the cake and chill for 2 hours or until firm.
11	3	Step 3	Meanwhile for the raspberry sauce, place the sugar and 2 tablespoons water in a small pan over medium heat, stirring to dissolve the sugar. Cool slightly, then add the berries and lemon juice. Whiz in a food processor until smooth, then pass through a sieve. Chill until ready to serve. (You can store the sauce, covered, in the fridge for 3-4 days).
11	4	Step 4	To serve, carefully remove the sides and base of the cake pan and transfer the mangomisu to a platter. Decorate with curls of the reserved mango, then slice and serve with berry sauce.
12	1	Step 1	Place the sugar and cream in a saucepan over low heat. Cook, stirring, for 5 minutes or until the sugar dissolves and the sauce thickens slightly. Keep warm.
12	2	Step 2	Meanwhile, line a tray with baking paper. Process the biscuits in a food processor until coarsely crushed. Transfer to a shallow bowl. Add the coconut and stir to combine.
12	3	Step 3	Place 1 scoop of ice-cream in the biscuit mixture and roll to coat. Place on lined tray and freeze while coating remaining balls. Repeat with the remaining ice-cream and biscuit mixture.
12	4	Step 4	Divide the ice-cream balls among serving bowls and pour over the hot caramel sauce.
13	1	Step 1	Preheat oven to 200C/180C fan-forced. Line a baking tray with baking paper. Pat potatoes dry with paper towel. Pierce all over with a fork. Place on prepared tray. Drizzle with 1/2 the oil. Season with salt and pepper.
13	2	Step 2	Roast for 1 hour 15 minutes or until golden and tender. Stand potatoes for 5 to 10 minutes or until cool enough to handle.
13	3	Step 3	Meanwhile, heat remaining oil in a frying pan over medium-high heat. Add onion, carrot and celery. Cook, stirring, for 5 to 6 minutes or until just starting to soften. Add mince. Cook, breaking up mince with a wooden spoon, for 6 to 8 minutes or until browned. Add gravy powder. Stir to combine. Reduce heat to medium-low. Add stock and mint sauce. Cook, stirring, for 3 minutes or until sauce thickens. Cover to keep warm.
13	4	Step 4	Cook peas following packet directions. Drain. Using a potato masher, mash peas and cream together until roughly crushed. Season with salt and pepper.
13	5	Step 5	Using a small knife, cut a cross in the top of each potato. Gently squeeze the base of each potato to open top. Place on plates. Divide mince mixture among potatoes. Dollop with pea mash. Serve drizzled with gravy.
14	1	Step 1	Combine cabbage, lettuce, onion and sesame seeds in a large bowl.
14	2	Step 2	Add noodles and dressing. Toss to combine. Serve immediately.
15	1	Step 1	Preheat oven to 180C/160C fan-forced. Grease a 4cm-deep, 8cm x 25cm bar cake pan. Line base and sides with baking paper, extending paper 5cm above edges of pan on 2 long sides.
15	2	Step 2	Reserve icing sachet from cake mix. Prepare cake following packet directions. Pour enough batter into prepared pan to come 3/4 of the way up side of pan (discard remaining batter). Bake for 25 minutes or until a skewer inserted into the centre of cake comes out clean. Stand in pan for 5 minutes. Turn, top-side up, onto a baking paper-lined wire rack to cool completely.
15	3	Step 3	Meanwhile, make Chocolate Bowl: Grease a 2-litre (8-cup-capacity) heatproof glass bowl or pudding basin with oil. Freeze bowl for 10 minutes or until cold. Place melts in a microwave-safe bowl. Microwave on HIGH (100%), stirring with a metal spoon every 30 seconds, for 2 to 3 minutes or until melted. Pour chocolate into cold bowl, swirling to completely coat, until bowl is evenly coated and chocolate stops moving. Freeze for 10 minutes or until chocolate is completely set.
15	4	Step 4	Carefully remove chocolate bowl in 1 piece (see Notes). Line the heatproof bowl or basin with plastic wrap, extending plastic 5cm above bowl. Return chocolate bowl to the lined bowl.
15	5	Step 5	Place vanilla ice-cream in a bowl. Set aside for 10 minutes or until softened (ice-cream should not be melted).
15	6	Step 6	Meanwhile, process 1/2 the strawberries until smooth. Strain puree over a bowl. Coarsely chop remaining strawberries. Add strawberry puree and chopped strawberries to ice-cream. Fold until just combined. Spoon half the ice-cream mixture over the base of chocolate bowl, spreading to level. Return chocolate bowl and remaining strawberry ice-cream mixture to freezer. Freeze for 1 hour or until firm.
15	7	Step 7	Place chocolate chip ice-cream in a bowl. Set aside for 10 minutes or until softened (ice-cream should not be melted). Spoon on top of strawberry ice-cream layer in chocolate bowl, spreading to level. Freeze for 1 hour or until firm.
15	8	Step 8	Remove remaining strawberry ice-cream mixture from freezer. Set aside for 10 minutes or until softened. Spoon on top of chocolate ice-cream layer, spreading to level. Cover surface with plastic wrap. Freeze overnight or until firm.
15	9	Step 9	Place 2 LCMs bars on a microwave-safe plate. Microwave on HIGH (100%) for 10 seconds or until just softened. Shape into balls to resemble meatballs. Repeat with remaining LCMs bars.
15	10	Step 10	Make Cream Cheese Icing: Using an electric mixer, beat cream cheese and butter until smooth. Gradually add reserved icing sachet and icing sugar, beating until well combined. Add milk. Beat until smooth. Transfer 3/4 cup icing to a small bowl. Using food colouring, tint icing pale yellow.
15	11	Step 11	Cut slices, at 2cm intervals, into the top of the bar cake being careful not to cut the whole way through. Spoon yellow icing into each cut, spreading gently, to resemble butter. Top with sprinkles.
15	12	Step 12	Remove plastic wrap from top of ice-cream cake. Place a plate over the top of cake. Invert cake onto plate and carefully remove glass bowl. Discard plastic wrap. Place a little remaining icing onto the centre of cake board or plate. Carefully turn cake, top-side up, onto centre of board.
15	13	Step 13	Place remaining icing into a large piping bag fitted with a 7mm round nozzle. Working quickly, pipe icing over top of cake to resemble spaghetti. Arrange meatballs on spaghetti. Pipe extra strands of spaghetti over some of the meatballs. Drizzle with strawberry topping to resemble pasta sauce. Sprinkle a little grated chocolate for parmesan. Return to freezer until ready to serve.
15	14	Step 14	Serve with 'garlic bread' and remaining grated chocolate (see Notes).
16	1	Step 1	Cook risoni following packet directions until tender. Drain well.
16	2	Step 2	Meanwhile, remove and discard stems from silverbeet. Roughly shred leaves.
16	3	Step 3	Heat oil in a large frying pan over medium-high heat. Add garlic and green onion. Cook, stirring, for 1 minute or until garlic just starts to turn golden. Add silverbeet leaves. Toss for 4 to 5 minutes or until just starting to wilt.
16	4	Step 4	Add risoni, olives, zest, juice, dill, parsley and fetta to pan. Season with salt and pepper. Toss to combine. Serve.
17	1	Step 1	Preheat oven to 200°C/180°C fan-forced. Grease and line 2 large baking trays with baking paper.
17	2	Step 2	Sprinkle sugar onto 1 prepared tray. Bake for 4 to 5 minutes or until the edge of the sugar just starts to melt. Remove from oven. Reduce oven temperature to 100°C/80°C fan-forced.
17	3	Step 3	Using an electric mixer, beat egg whites until soft peaks form. With motor running, gradually pour sugar into egg white in a slow, steady stream. Continue beating for 5 to 6 minutes or until sugar is dissolved. Add orange rind. Beat to combine.
17	4	Step 4	Run a skewer dipped into orange food colouring down the sides of a piping bag fitted with a 1cm fluted nozzle to form 4 stripes. Spoon half the meringue mixture into piping bag. Pipe 8 meringues (about 5cm in diameter), 2cm apart, onto 1 prepared tray. Repeat with more food colouring, reapplying stripes in piping bag, and remaining mixture, to make 16 meringues in total. Bake for 45 minutes or until just firm to touch. Turn off oven. Cool completely in oven with door closed.
17	5	Step 5	Meanwhile, make Jaffa Ganache; Place chocolate and cream in a small microwave-safe bowl. Microwave on HIGH (100%), stirring with a metal spoon every 30 seconds, for 1 to 1 1/2 minutes or until melted and combined. Stir in orange juice. Set aside for 30 minutes to thicken.
17	6	Step 6	Meanwhile, place chocolate in a small microwave-safe bowl. Microwave on HIGH (100%), stirring every 30 seconds with a metal spoon, for 1 to 1 1/2 minutes or until melted. Stand for 10 minutes to cool. Dip the top of each waffle cone into chocolate. Using the back of a spoon, spread chocolate about 1cm down the inside and outside edge of each cone. Decorate chocolate with orange sprinkles. Stand cones upright in glasses. Set aside for 20 minutes or until chocolate is set.
17	7	Step 7	Sandwich meringues together with 2 teaspoons of ganache. Stand for 10 minutes to set. Fill ice-cream cones with love notes candy, mini fruit candy and Jaffas. Using a little melted chocolate, secure meringues to cones to form 'ice-cream'. Stand for 20 minutes or until set. Serve.
18	1	Step 1	Preheat oven to 180°C/160°C fan-forced. Lightly grease a 5cm-deep, 25cm x 35cm (base) baking dish. Break vegie mince into a bowl. Add beans. Reserve 1/2 cup enchilada sauce. Add remaining sauce to mince mixture. Stir to combine.
18	2	Step 2	Heat a frying pan over medium heat. Add 1 tortilla. Cook for 10 seconds each side or until softened. Transfer to a flat surface. Top with ¼ cup mince mixture. Roll up to enclose filling. Place, seam side down, in prepared dish. Repeat with remaining tortillas and mince mixture.
18	3	Step 3	Spread reserved sauce over centre of tortillas. Sprinkle with cheese. Bake for 20 to 25 minutes or until cheese has melted.
18	4	Step 4	Meanwhile, make salad Cook rice in a saucepan of boiling water for 10 minutes or until tender. Drain. Place rice, corn, onion, coriander and lime juice in a bowl. Season with salt and pepper. Toss to combine. Serve enchiladas with rice salad.
19	1	Step 1	Cook rice following packet directions. Drain. Rinse under cold water. Drain well. Spread rice onto a tray. Refrigerate until cold, if time permits.
19	2	Step 2	Heat a wok over medium-high heat. Add oil. Swirl to coat. Add onion. Stir-fry for 3 to 4 minutes or until starting to brown. Add garlic and ginger. Stir-fry for 1 minute. Add vegetables. Stir-fry for 4 minutes or until tender. Add chicken and rice. Stir-fry for 3 to 4 minutes or until heated through. Add combined soy and sugar. Stir-fry for 1 minute. Serve sprinkled with coriander.
20	1	Step 1	Preheat the oven to 180°C. Line 2 baking trays with baking paper.
20	2	Step 2	Combine parmesan and flour in a bowl. Spread six 6cm circles of the parmesan mixture onto the trays, leaving room to spread. Bake for 3-5 minutes until golden, then cool slightly and break into shards.
20	3	Step 3	Whisk olive oil and balsamic vinegar together, season, then toss with salad leaves and parmesan crisps in a bowl.
21	1	Step 1	Heat oil in a frying pan over medium-high heat. Add onion. Cook for 3 to 4 minutes or until softened. Add mince. Cook, breaking up mince with a wooden spoon, for 5 to 6 minutes or until browned and cooked through.
21	2	Step 2	Add garlic, zucchini and carrot. Cook, stirring, for 3 minutes or until zucchini is tender. Stir in gravy powder, tomato paste and 1/4 cup cold water. Cook, stirring, for 2 minutes or until mixture thickens. Cool.
21	3	Step 3	Preheat oven to 200°C/180°C fan-forced. Grease three 12-hole round patty pans. Using a 6.5cm cutter, cut 36 rounds from 2 pastry sheets. Cut seventy-two 1cm x 6cm strips from remaining pastry. Line holes of prepared pans with pastry rounds.
21	4	Step 4	Spoon level tablespoons of mince mixture into pastry rounds. Top each with 2 strips of pastry to form a cross. Brush with milk. Bake for 15 to 18 minutes, swapping trays during cooking, or until pastry is golden brown and pies heated through. Stand for 1 minute. Transfer to a dish. Serve with tomato sauce.
22	1	Step 1	Cut the zucchini into long thin ribbons (a mandoline is ideal), then use a sharp knife to cut each ribbon into thin strips. Place zucchini in a colander set in the sink and toss with 1 tablespoon sea salt. Allow to drain for 30 minutes, then rinse well and pat dry with paper towel.
22	2	Step 2	Toss zucchini with pesto, lemon zest, oil and pine nuts, then season. Pile onto plates and sprinkle with the parmesan and drizzle with a little extra oil. Garnish with a few basil leaves and serve.
23	1	Step 1	Preheat oven to 180°C. Place jam, syrup, sugar, ⅓ cup water, allspice, cinnamon and ground cloves in a saucepan over medium-high heat. Simmer for 10 mins or until the glaze thickens. Strain the mixture, discarding solids. Meanwhile, cut through the rind 8cm from the shank. Run thumb under rind to separate from fat. Peel back, sliding fingers under rind to remove.
23	2	Step 2	Using a small sharp knife, score the fat, diagonally, at 3cm intervals to form a diamond pattern. Be careful not to score the fat too deeply or it may slide off during cooking and give an uneven finish. Push one whole clove into the centre of each diamond. The cloves help hold the fat layer in place and give the ham a subtle flavour.
23	3	Step 3	Place the ham on a wire rack in a roasting pan. Add boiling water to the pan until it reaches 2cm up the sides of the pan. Brush the ham with a quarter of the cherry mixture. Wrap shank in foil to stop it over-browning. Bake, basting with the cherry mixture every 20 mins, for 1 hour 20 mins or until the ham is golden. Remove the foil from the shank and serve.
24	1	Step 1	Place rind in a saucepan, cover with water and bring to the boil. Drain, then repeat process twice. Return rind to pan, add 110g (1/2 cup) sugar and 125ml (1/2 cup) water. Bring to the boil over medium heat, then simmer for 15 minutes or until syrup is thick and rind translucent. Drain and reserve syrup. Cool rind, then toss in extra sugar and chop coarsely.
24	2	Step 2	Place dark chocolate in a heatproof bowl. Pour 150ml boiling water over and whisk until well combined.
24	3	Step 3	Preheat oven to 180°C. Crush flaked almonds. Using an electric mixer, beat 150g butter, remaining 150g sugar and 1/2 teaspoon salt until pale and fluffy. Add eggs one at a time, beating after each, then beat in chocolate mixture. Sift over ground almonds and baking powder, add flaked almonds and orange rind, and stir to combine. Spoon into a 20cm greased and baking paper-baselined cake tin. Bake on bottom shelf of oven for 50-55 minutes or until a cake tester comes out clean. Stand cake in tin for 10 minutes, then turn out onto a wire rack to cool completely.
24	4	Step 4	Stir orange chocolate, remaining butter and cream over a pan of simmering water until melted. Cool to the consistency of thick cream, then spread over cake. Leave to set.
25	1	Step 1	Place potatoes in a saucepan of cold water, bring to a boil and cook for 20 minutes or until tender. Drain. Cool.
25	2	Step 2	Meanwhile, cut fish widthwise into 2mm-thick slices. Toss fish with half the lime juice in a glass or ceramic bowl, then refrigerate for 20 minutes for lime to ‘cook’ the fish or until fish is opaque.
25	3	Step 3	Drain marinade and discard. Place fish in a large bowl. Thinly slice potatoes. Add to fish with radicchio, cucumbers, radishes and herbs, and toss to combine.
25	4	Step 4	To make dressing, whisk remaining lime juice with chilli, eschalot and oil in a bowl. Season with salt and pepper.
25	5	Step 5	Drizzle dressing over salad and toss gently to combine.
26	1	Step 1	Place potatoes in a large saucepan. Cover with cold water and place over high heat. Bring to the boil. Cook for 15 minutes or until tender. Drain well.
26	2	Step 2	Heat butter and cream in a medium saucepan over low heat. Place potatoes in a potato ricer and press into the cream mixture (alternatively, use a potato masher to mash until smooth). Season with salt and ground white pepper. Use a wooden spoon to stir to combine. Serve immediately with salad greens and barramundi parcels.
27	1	Step 1	Sift flour, baking powder, bicarbonate of soda and salt into a bowl. Spoon the flour mixture into a 1L (4-cup) capacity glass jar. Top with brown sugar, then caster sugar. Top with oats, then craisins, then chocolate chips. Seal jar. Give as gift.
27	2	Step 2	To make cookies, preheat oven to 190C. Line 2 baking trays with baking paper. Empty jar into a large bowl. Add butter, egg and vanilla. Stir until well combined. Shape tablespoons of mixture into balls and place on baking trays approximately 5cm apart. Bake for 10 to 15 minutes, swapping trays halfway during cooking, or until edges are lightly browned. Turn biscuits onto a wire rack to cool. Serve.
28	1	Step 1	Heat the oil in a small saucepan over medium heat. Add the ginger and lemon grass, and cook, stirring, for 1 minute or until aromatic. Add water, vinegar and sugar. Bring to the boil and stir until the sugar dissolves. Reduce heat to low. Simmer for 5 minutes or until slightly reduced.
28	2	Step 2	Stir in the cucumber and carrot. Set aside to cool.
29	1	Step 1	Using a sharp knife, score top of lamb at 1cm intervals. Place lamb in large glass or ceramic dish. Place beef and chicken in separate glass or ceramic dishes. Combine cumin, coriander, chilli powder, salt, pepper, sugar, garlic, thyme, oregano and orange juice in bowl.
29	2	Step 2	Divide spice mixture between lamb, beef and chicken. Rub to coat. Cover. Refrigerate for 4 hours or overnight, if time permits.
29	3	Step 3	Preheat barbecue on high with hood closed. Place lamb in a disposable foil baking tray. Stand at room temperature for 15 minutes. Drizzle with 1 tablespoon oil. Reduce temperature to medium-low. Cook lamb, using indirect heat, for 3 hours or until tender and starting to come away from the bone. Cover with foil. Set aside for 15 minutes to rest.
29	4	Step 4	Heat barbecue chargrill on medium-high heat. Drizzle beef with 1 tablespoon oil. Cook beef for 4 to 5 minutes each side for medium or until cooked to your liking. Transfer to plate. Cover loosely with foil. Set aside for 5 minutes. Drizzle chicken with remaining oil. Cook for 3 to 4 minutes each side or until cooked through. Transfer to a plate. Cover loosely with foil. Set aside for 5 minutes to rest. Slice lamb and beef. Serve lamb, beef and chicken with Chimichurri and Salsa criolla. (see related recipes)
30	1	Step 1	Making the passion fruit curd: Cut each passion fruit in half and spoon the pulp into a sieve over a jug. Strain the pulp and use the back of a spoon to press as much juice out of the passionfruit as possible (you need about 160ml juice). Discard the seeds. Combine the passionfruit juice, eggs, lemon juice and cornflour in a saucepan. Carefully warm through over medium heat. Stir in the sugar. Stir continuously until the mixture comes to the boil and thickens. Transfer to a bowl. Cover and cool to 50°C. Add the butter. Use a stick blender to blend until the mixture is smooth and shiny. Cover the surface with plastic wrap and set aside to set.
30	2	Step 2	Making the raspberry gel: Puree the raspberries in a blender until smooth. Place the raspberry puree in a sieve over a bowl. Use the back of a spoon to press as much juice as possible (you need 375g juice). Discard the seeds. Place the puree in a saucepan and heat over medium heat to 60°C. Stir in the combined sugar and pectin. Bring to the boil. Add the lemon juice and mix well. Remove from the heat. Pour into a heatproof bowl. Cover and place in the fridge until firm.
30	3	Step 3	Making the meringue: Preheat the oven to 140°C/120°C fan forced. Draw eight 10cm squares among 3 sheets of baking paper. Place the baking paper, pencil side down, on 3 baking trays. Use electric beaters to whisk the egg whites and caster sugar in a clean dry bowl. for 5 minutes or until firm peaks form. Fold in the icing sugar, cornflour and vinegar. Spoon mixture among the squares. Use a flat-bladed knife to spread evenly until about 1.5cm thick. Bake for 15 minutes or until the meringues form a crust but the centre is still soft.
30	4	Step 4	Making the sponge: Preheat the oven to 200°C/180°C fan forced. Line the base and sides of three 27 x 42cm shallow baking trays with baking paper. Use electric beaters to whisk the egg whites and caster sugar in a bowl for 3 minutes or until firm peaks form. Quickly whisk in the egg yolks, vanilla and glucose. Use a spatula to fold in the combined flours. Spread the sponge mixture evenly among the lined trays. Bake for 8-10 minutes or until light golden and cooked through. Set aside to cool completely on the trays.
30	5	Step 5	Making the chantilly: Use electric beaters to beat the crème fraîche, lemon zest and lemon juice in a bowl until combined. Gradually beat in the cream until firm peaks form.
30	6	Step 6	To assemble: Line four 12cm (base measurement) lightly greased square cake pans with 2 strips of baking paper, overlapping on the base and up both sides.
30	7	Step 7	Cut eight 12cm squares from the sponge. Place 1 sponge square in the base of each pan. Cut remaining sponge into rectangles and use to line the sides of the pans without any gaps. Mix the raspberry gel to loosen. Spread half the raspberry gel thinly over the sponge bases.
30	8	Step 8	Place half the chantilly cream in a piping bag fitted with a plain nozzle. Thinly pipe chantilly cream over the raspberry gel layer (this makes it easier to cover the gel without messing up the layers). Use a palette knife to smooth gently.
30	9	Step 9	Top with a square of meringue, trimming to fit, if necessary. Spread half of the curd over the meringue. Sprinkle with a layer of strawberries and blueberries. Top with the remaining curd. Top with the remaining meringue layer. Top with the remaining raspberry gel. Pipe over the remaining chantilly cream. Spread smoothly. Seal top with remaining squares of sponge. Place in the fridge for 2 hours. Place in the freezer for 1 hour to harden before coating.
30	10	Step 10	Making the coating: Place the water, sugar, glucose, cream and cocoa in a saucepan over medium heat. Stir continuously, for 5-8 minutes so the mixture doesn’t catch on the base or side of pan. Heat to 103°C. Remove from the heat and cool to 50°C.
30	11	Step 11	Meanwhile, cut the gelatine leaves into small squares. Place gelatine in a bowl with the cold water and set aside to soak.
30	12	Step 12	When the chocolate mixture reaches 50°C, stir in the gelatine and any soaking liquid, stirring until dissolved. Transfer to a heatproof bowl.
30	13	Step 13	Place bowl of chocolate mixture over a saucepan of simmering water and heat to 35°C. Place coconut in shallow dish.
30	14	Step 14	Carefully remove 1 pavlington out of the pan. Remove paper. Place pavlington on a wire rack over a baking tray. Pour chocolate over top and sides and use a spatula to spread chocolate to cover. Sprinkle with coconut to cover. Place in the fridge for 15 minutes to set. Repeat to coat remaining pavlingtons with remaining chocolate mixture (re-using any chocolate sauce that has dripped into the tray) and coat in coconut.
31	1	Step 1	To make filling, place gelatine in a bowl and cover with cold water. Set aside for 5 minutes to soften. Squeeze excess liquid from gelatine. Bring the cream and vanilla bean and seeds to boil in a saucepan over medium heat. Remove from heat. Stir in the gelatine until dissolved. Transfer to a bowl. Cover and chill overnight or until set.
31	2	Step 2	To make the dough, place 250g of butter between plastic wrap. Tap with a rolling pin to form a 1cm-thick, 16 x 20cm sheet. Place in the fridge to chill. Chop remaining butter.
31	3	Step 3	Combine the water and yeast in a bowl. Stir in plain flour until a dough forms. Cover with plastic wrap and set aside in a warm place to prove until dough doubles in size.
31	4	Step 4	Place the chopped butter, bread flour, sugar and salt in an electric mixer fitted with a dough hook. Mix on low speed until just combined. Add egg and milk. Mix until a dough forms. Add yeast dough and mix on medium-low speed for 3-4 minutes. Cover and rest for 30 minutes. Chill for 1-2 hours.
31	5	Step 5	Stand butter sheet at room temperature for 30 minutes to soften slightly. Roll out dough on a floured surface to a 20 x 40cm rectangle. Place butter sheet in centre of dough and fold one short end over the butter. Fold opposite end over the top to enclose. Tap with rolling pin to flatten slightly. Turn the dough 90°. Roll out the dough to a 1cm-thick rectangle, rolling in the same direction as open ends. Fold into thirds by folding the short end closest to you over the centre and folding the opposite end over the top. Cover with plastic wrap and chill in the fridge for 1 hour. Repeat the rolling, folding and chilling process 2 more times.
31	6	Step 6	Roll the dough on a floured surface until 1cm thick. Rest for 2 minutes. Lift dough off the bench and place back down to relax. Use a 6cm-round cutter to cut 18 discs. Using a 2.5cm-round cutter, cut a small hole in the centre of each disc. Transfer to a lined tray.
31	7	Step 7	Fill the sink with hot water until 2cm deep. Place a wire rack just above the water. Place the prepared tray on top of the rack. Cover with a tea towel. Stand until dough doubles.
31	8	Step 8	Heat oil in a deep fryer or saucepan until 180°C-190°C. Deep fry the Zonuts, in batches, for 30 seconds each side or until golden and cooked through. Transfer to a tray lined with paper towel to drain.
31	9	Step 9	Transfer the creme chantilly filling to a bowl. Use electric beaters to whip until smooth and soft peaks form.
31	10	Step 10	To make icing, place condensed milk in a bowl. Stir in the icing sugar until smooth and thick. Tint with pink food colouring.
